행정구역,아파트 이름,아파트 동,실거래가,거래유형,전용면적
서울 종로구 창신동,창신쌍용2,201,"57,000만원",중개거래,54.7 m2
서울 종로구 연건동,이화에수풀,이화에수풀,"18,000만원",중개거래,16.98 m2
  숭인동,에비뉴청계Ⅰ,.,"33,280만원",직거래,24.52 m2
  숭인동,에비뉴청계Ⅰ,.,"23,400만원",직거래,18.41 m2
서울 종로구 교북동,경희궁자이(4단지),402,"108,000만원",중개거래,45.879 m2
서울 종로구 평동,경희궁자이(3단지),301,"200,000만원",중개거래,84.9443 m2
서울 종로구 홍파동,경희궁자이(2단지),209,"198,000만원",중개거래,84.614 m2
서울 종로구 무악동,인왕산아이파크,101,"128,000만원",중개거래,84.858 m2
서울 종로구 무악동,인왕산아이파크,111,"129,000만원",중개거래,84.858 m2
"서울 용산구, 서울 종로구 무악동",경희궁롯데캐슬,102동,"130,000만원",중개거래,59.6737 m2
서울 종로구 홍파동,경희궁자이(2단지),207,"200,000만원",중개거래,84.614 m2
서울 종로구 내수동,경희궁파크팰리스,102,"217,000만원",중개거래,147.62 m2
서울 종로구 창신동,창신쌍용2,205,"81,000만원",중개거래,106.62 m2
서울 종로구 숭인동,종로청계힐스테이트,105,"102,000만원",중개거래,84.9478 m2
서울 종로구 홍파동,경희궁자이(2단지),202,"195,000만원",중개거래,84.8359 m2
서울 종로구 홍파동,경희궁자이(2단지),209,"199,500만원",중개거래,84.614 m2
서울 종로구 내수동,세종로대우, ,"83,200만원",중개거래,66.96 m2
서울 동대문구 창신동,창신쌍용2,202,"60,000만원",중개거래,64.66 m2
서울 동대문구 창신동,창신쌍용2,207,"68,000만원",중개거래,79.87 m2
서울 종로구 창신동,창신쌍용1,102,"70,000만원",중개거래,79.87 m2
서울 종로구 홍파동,경희궁자이(2단지),201,"215,000만원",중개거래,84.9443 m2
서울 종로구 숭인동,종로청계힐스테이트,105,"100,600만원",중개거래,84.9478 m2
  내수동,경희궁파크팰리스,102,"130,811만원",직거래,117.26 m2
서울 종로구 연건동,이화에수풀, ,"18,000만원",중개거래,16.98 m2
서울 종로구 평동,경희궁자이(3단지),302,"195,000만원",중개거래,84.614 m2
서울 종로구 평동,경희궁자이(3단지),308,"155,000만원",중개거래,59.9425 m2
"서울 서대문구, 서울 종로구 홍파동",경희궁자이(2단지),202,"198,000만원",중개거래,84.8359 m2
서울 종로구 홍파동,경희궁자이(2단지),208,"205,000만원",중개거래,84.8359 m2
서울 종로구 평동,경희궁자이(3단지),301,"183,000만원",중개거래,84.8359 m2
서울 종로구 평동,경희궁자이(3단지),308,"150,000만원",중개거래,59.4712 m2
"서울 서대문구, 서울 종로구 교북동",경희궁자이(4단지),401,"107,000만원",중개거래,45.879 m2
서울 종로구 창신동,창신쌍용2,201,"53,000만원",중개거래,54.7 m2
서울 마포구 홍파동,경희궁자이(2단지),207,"315,000만원",중개거래,138.6533 m2
서울 종로구 홍파동,경희궁자이(2단지), ,"162,000만원",중개거래,59.8547 m2
서울 종로구 홍파동,경희궁자이(2단지),207,"218,000만원",중개거래,84.614 m2
서울 종로구 수송동,로얄팰리스스위트,로얄팰리스스위트,"35,000만원",중개거래,40.07 m2
서울 종로구 연건동,이화에수풀,이화에수풀,"18,500만원",중개거래,16.98 m2
서울 종로구 창신동,창신쌍용2,203,"60,000만원",중개거래,64.66 m2
서울 종로구 숭인동,삼전솔하임2차,1,"10,700만원",중개거래,14.69 m2
서울 종로구 창신동,두산,102,"109,500만원",중개거래,84.9 m2
서울 종로구 창신동,두산,101,"90,000만원",중개거래,59.95 m2
서울 종로구 무악동,현대,112,"91,990만원",중개거래,60 m2
서울 종로구 무악동,인왕산아이파크,105,"158,500만원",중개거래,114.931 m2
서울 종로구 홍파동,경희궁자이(2단지),201,"198,000만원",중개거래,84.8359 m2
서울 종로구 평동,경희궁자이(3단지),301,"158,000만원",중개거래,59.8547 m2
서울 종로구 홍파동,경희궁자이(2단지),204,"165,000만원",중개거래,59.8547 m2
경기 수원시장안구 홍파동,경희궁자이(2단지), ,"170,000만원",중개거래,84.8359 m2
"서울 강남구, 서울 종로구 명륜2가",아남1,제103,"118,000만원",중개거래,84.9 m2
  창신동,덕산, ,"34,100만원",직거래,59.28 m2
서울 종로구 익선동,현대뜨레비앙,현대뜨레비앙,"39,000만원",중개거래,46.64 m2
"서울 성북구, 서울 종로구 창신동",창신쌍용2,202,"58,000만원",중개거래,64.66 m2
서울 종로구 창신동,창신쌍용2,205,"80,500만원",중개거래,106.62 m2
서울 종로구 무악동,경희궁롯데캐슬,103동,"140,000만원",중개거래,84.8792 m2
"광주 광산구, 서울 종로구 창신동",창신쌍용2,201,"55,000만원",중개거래,54.7 m2
서울 종로구 숭인동,종로청계힐스테이트, ,"105,000만원",중개거래,84.9478 m2
"서울 송파구, 서울 종로구 홍파동",경희궁자이(2단지),204,"162,000만원",중개거래,59.8547 m2
서울 종로구 평동,경희궁자이(3단지),306,"149,200만원",중개거래,59.7547 m2
서울 종로구 내수동,경희궁파크팰리스,101,"148,000만원",중개거래,103.77 m2
"서울 마포구, 서울 종로구 사직동",광화문스페이스본(101동~105동),105,"170,000만원",중개거래,131.44 m2
서울 종로구 명륜1가,렉스빌, ,"120,000만원",중개거래,135.79 m2
서울 종로구 사직동,광화문스페이스본(101동~105동),101,"138,000만원",중개거래,94.51 m2
서울 종로구 홍파동,경희궁자이(2단지),204,"164,000만원",중개거래,59.8547 m2
