호선,역명,이동시간,거리,누적거리
1호선,서울역,0:00,0.0km,0.0km
1호선,시청,2:00,1.1km,1.1km
1호선,종각,2:00,1.0km,2.1km
1호선,종로3가,1:30,0.8km,2.9km
1호선,종로5가,1:30,0.9km,3.8km
1호선,동대문,1:30,0.8km,4.6km
1호선,동묘앞,1:00,0.6km,5.2km
1호선,신설동,1:30,0.7km,5.9km
1호선,제기동,1:30,0.9km,6.8km
1호선,청량리,1:30,1.0km,7.8km
2호선,시청,0:00,0.0km,0.0km
2호선,을지로입구,1:30,0.7km,0.7km
2호선,을지로3가,1:00,0.8km,1.5km
2호선,을지로4가,1:00,0.6km,2.1km
2호선,동대문역사문화공원,1:30,1.0km,3.1km
2호선,신당,1:30,0.9km,4.0km
2호선,상왕십리,1:00,0.9km,4.9km
2호선,왕십리,1:00,0.8km,5.7km
2호선,한양대,1:30,1.0km,6.7km
2호선,뚝섬,1:30,1.1km,7.8km
2호선,성수,1:00,0.8km,8.6km
2호선,건대입구,1:30,1.2km,9.8km
2호선,구의,2:00,1.6km,11.4km
2호선,강변,1:00,0.9km,12.3km
2호선,잠실나루,2:00,1.8km,14.1km
2호선,잠실,1:30,1.0km,15.1km
2호선,잠실새내,1:30,1.2km,16.3km
2호선,종합운동장,1:30,1.2km,17.5km
2호선,삼성,1:30,1.0km,18.5km
2호선,선릉,1:30,1.3km,19.8km
2호선,역삼,1:30,1.2km,21.0km
2호선,강남,1:00,0.8km,21.8km
2호선,교대,1:30,1.2km,23.0km
2호선,서초,1:00,0.7km,23.7km
2호선,방배,2:00,1.7km,25.4km
2호선,사당,2:30,1.6km,27.0km
2호선,낙성대,2:00,1.7km,28.7km
2호선,서울대입구,1:30,1.0km,29.7km
2호선,봉천,1:00,1.0km,30.7km
2호선,신림,1:30,1.1km,31.8km
2호선,신대방,2:00,1.8km,33.6km
2호선,구로디지털단지,1:30,1.1km,34.7km
2호선,대림,1:30,1.1km,35.8km
2호선,신도림,2:30,1.8km,37.6km
2호선,문래,2:00,1.2km,38.8km
2호선,영등포구청,1:00,0.9km,39.7km
2호선,당산,1:30,1.1km,40.8km
2호선,합정,2:30,2.0km,42.8km
2호선,홍대입구,1:30,1.1km,43.9km
2호선,신촌,2:00,1.3km,45.2km
2호선,이대,1:00,0.8km,46.0km
2호선,아현,1:00,0.9km,46.9km
2호선,충정로,1:30,0.8km,47.7km
2호선,시청,1:30,1.1km,48.8km
2호선,용답,3:00,2.3km,51.1km
2호선,신답,1:30,1.0km,52.1km
2호선,용두,1:30,0.9km,53.0km
2호선,신설동,1:30,1.2km,54.2km
2호선,도림천,1:30,1.0km,55.2km
2호선,양천구청,2:30,1.7km,56.9km
2호선,신정네거리,3:00,1.9km,58.8km
2호선,까치산,2:30,1.4km,60.2km
3호선,지축,0:00,0.0km,0.0km
3호선,구파발,3:00,1.5km,1.5km
3호선,연신내,2:00,2.0km,3.5km
3호선,불광,1:30,1.3km,4.8km
3호선,녹번,1:30,1.1km,5.9km
3호선,홍제,2:00,1.6km,7.5km
3호선,무악재,1:30,0.9km,8.4km
3호선,독립문,1:30,1.1km,9.5km
3호선,경복궁,2:00,1.6km,11.1km
3호선,안국,1:30,1.1km,12.2km
3호선,종로3가,1:30,1.0km,13.2km
3호선,을지로3가,1:00,0.6km,13.8km
3호선,충무로,1:00,0.7km,14.5km
3호선,동대입구,1:30,0.9km,15.4km
3호선,약수,1:00,0.7km,16.1km
3호선,금호,1:00,0.8km,16.9km
3호선,옥수,1:00,0.8km,17.7km
3호선,압구정,2:00,2.1km,19.8km
3호선,신사,2:00,1.5km,21.3km
3호선,잠원,1:30,0.9km,22.2km
3호선,고속터미널,1:30,1.2km,23.4km
3호선,교대,2:00,1.6km,25.0km
3호선,남부터미널,1:30,0.9km,25.9km
3호선,양재,2:00,1.8km,27.7km
3호선,매봉,2:00,1.2km,28.9km
3호선,도곡,1:30,0.8km,29.7km
3호선,대치,1:00,0.8km,30.5km
3호선,학여울,1:00,0.8km,31.3km
3호선,대청,1:30,0.9km,32.2km
3호선,일원,1:30,1.2km,33.4km
3호선,수서,2:00,1.8km,35.2km
3호선,가락시장,2:00,1.4km,36.6km
3호선,경찰병원,1:00,0.8km,37.4km
3호선,오금,1:00,0.8km,38.2km
4호선,당고개,0:00,0.0km,0.0km
4호선,상계,1:30,1.2km,1.2km
4호선,노원,1:30,1.0km,2.2km
4호선,창동,2:00,1.4km,3.6km
4호선,쌍문,1:30,1.3km,4.9km
4호선,수유,2:00,1.5km,6.4km
